Rank,Country,Life expectancy at birth,Date of Information,,,,,,,,,,,,
107,Azerbaijan, 73.0 ,2020,,,,,,,,,,,,
108,Cape Verde, 73.0 ,2020,,,,,,,,,,,,
109,Solomon Islands, 73.0 ,2020,,,,,,,,,,,,
110,Libya, 72.9 ,2020,,,,,,,,,,,,
111,World, 72.8 ,2020,,,,,,,,,,,,
112,Syria, 72.7 ,2020,,,,,,,,,,,,
113,Russia, 72.9 ,2020,,,,,,,,,,,,
114,Bangladesh, 72.6 ,2020,,,,,,,,,,,,
115,Saint Vincent and the Grenadines, 72.5 ,2020,,,,,,,,,,,,
116,Grenada, 72.4 ,2020,,,,,,,,,,,,
117,Ukraine, 72.1 ,2020,,,,,,,,,,,,
118,Arab States, 72.1 ,2020,,,,,,,,,,,,
119,Venezuela, 72.1 ,2020,,,,,,,,,,,,
120,Egypt, 72.0 ,2020,,,,,,,,,,,,
121,Moldova, 71.9 ,2020,,,,,,,,,,,,
122,Bhutan, 71.8 ,2020,,,,,,,,,,,,
123,Suriname, 71.8 ,2020,,,,,,,,,,,,
124,Uzbekistan, 71.7 ,2020,,,,,,,,,,,,
125,Indonesia, 71.7 ,2020,,,,,,,,,,,,
126,Bolivia, 71.5 ,2020,,,,,,,,,,,,
127,Kyrgyzstan, 71.5 ,2020,,,,,,,,,,,,
128,Philippines, 71.2 ,2020,,,,,,,,,,,,
129,Tajikistan, 71.1 ,2020,,,,,,,,,,,,
130,Tonga, 70.9 ,2020,,,,,,,,,,,,
131,Nepal, 70.8 ,2020,,,,,,,,,,,,
132,Iraq, 70.6 ,2020,,,,,,,,,,,,
133,Vanuatu, 70.5 ,2020,,,,,,,,,,,,
134,São Tomé and Príncipe, 70.4 ,2020,,,,,,,,,,,,
135,Mongolia, 69.9 ,2020,,,,,,,,,,,,
136,South Asia, 69.9 ,2020,,,,,,,,,,,,
137,Guyana, 69.9 ,2020,,,,,,,,,,,,
138,Cambodia, 69.8 ,2020,,,,,,,,,,,,
139,India, 69.7 ,2020,,,,,,,,,,,,
140,Botswana, 69.6 ,2020,,,,,,,,,,,,
141,East Timor, 69.5 ,2020,,,,,,,,,,,,
142,Rwanda, 69.0 ,2020,,,,,,,,,,,,
143,Kiribati, 68.4 ,2020,,,,,,,,,,,,
144,Turkmenistan, 68.2 ,2020,,,,,,,,,,,,
145,Micronesia, 67.9 ,2020,,,,,,,,,,,,
146,Laos, 67.9 ,2020,,,,,,,,,,,,
147,Senegal, 67.9 ,2020,,,,,,,,,,,,
148,Fiji, 67.4 ,2020,,,,,,,,,,,,
149,Pakistan, 67.3 ,2020,,,,,,,,,,,,
150,Myanmar, 67.1 ,2020,,,,,,,,,,,,
151,Djibouti, 67.1 ,2020,,,,,,,,,,,,
152,Madagascar, 67.0 ,2020,,,,,,,,,,,,
153,Kenya, 66.7 ,2020,,,,,,,,,,,,
154,Ethiopia, 66.6 ,2020,,,,,,,,,,,,
155,Gabon, 66.5 ,2020,,,,,,,,,,,,
156,Eritrea, 66.3 ,2020,,,,,,,,,,,,
157,Yemen, 66.1 ,2020,,,,,,,,,,,,
158,Tanzania, 65.5 ,2020,,,,,,,,,,,,
159,Sudan, 65.3 ,2020,,,,,,,,,,,,
160,Mauritania, 64.9 ,2020,,,,,,,,,,,,
161,Afghanistan, 64.8 ,2020,,,,,,,,,,,,
162,Congo, 64.6 ,2020,,,,,,,,,,,,
163,Papua New Guinea, 64.5 ,2020,,,,,,,,,,,,
164,Comoros, 64.3 ,2020,,,,,,,,,,,,
165,Malawi, 64.3 ,2020,,,,,,,,,,,,
166,South Africa, 64.1 ,2020,,,,,,,,,,,,
167,Ghana, 64.1 ,2020,,,,,,,,,,,,
168,Liberia, 64.1 ,2020,,,,,,,,,,,,
169,Haiti, 64.0 ,2020,,,,,,,,,,,,
170,Zambia, 63.9 ,2020,,,,,,,,,,,,
171,Namibia, 63.7 ,2020,,,,,,,,,,,,
172,Uganda, 63.4 ,2020,,,,,,,,,,,,
